CNPJ_Fundo,dt,values,Percentual_Rentabilidade_Patrimonial_Mes
01.356.517/0001-80,2022-04-01,1.038201,1.038201
01.356.517/0001-80,2022-05-01,1.037399,1.037399
01.356.517/0001-80,2022-06-01,1.03623,1.03623
01.356.517/0001-80,2022-07-01,1.045573,1.045573
01.356.517/0001-80,2022-08-01,1.043638,1.043638
01.356.517/0001-80,2022-09-01,1.042693,1.042693
01.356.517/0001-80,2022-10-01,1.040754,1.040754
01.356.517/0001-80,2022-11-01,1.012277,1.012277
01.356.517/0001-80,2022-12-01,1.030513,1.030513
01.356.517/0001-80,2023-01-01,1.033371,1.033371
01.356.517/0001-80,2023-02-01,1.033371,1.033371
01.356.517/0001-80,2023-03-01,1.044246,1.044246
01.356.517/0001-80,2023-04-01,1.038085,1.038085
01.356.517/0001-80,2023-05-01,1.037115,1.037115
01.356.517/0001-80,2023-06-01,1.033479,1.033479
01.356.517/0001-80,2023-07-01,1.034727,1.034727
01.356.517/0001-80,2023-08-01,1.040788,1.040788
01.356.517/0001-80,2023-09-01,1.038833,1.038833
01.356.517/0001-80,2023-10-01,1.037309,1.037309
01.356.517/0001-80,2023-11-01,1.036271,1.036271
01.356.517/0001-80,2023-12-01,1.029967,1.029967
01.497.954/0001-14,2022-01-01,1.001192,1.001192
01.497.954/0001-14,2022-02-01,1.000836,1.000836
01.497.954/0001-14,2022-03-01,0.999609,0.999609
01.497.954/0001-14,2022-04-01,1.000827,1.000827
01.497.954/0001-14,2022-05-01,1.003126,0.9993
01.497.954/0001-14,2022-06-01,1.001227,0.997838
01.497.954/0001-14,2022-07-01,1.00065,1.00065
01.497.954/0001-14,2022-08-01,1.000437,1.000437
01.497.954/0001-14,2022-09-01,1.001591,1.001591
01.497.954/0001-14,2022-10-01,1.000676,1.000676
01.497.954/0001-14,2022-11-01,1.001009,0.999942
01.497.954/0001-14,2022-12-01,1.034726,1.031766
01.497.954/0001-14,2023-01-01,1.000927,1.000496
01.497.954/0001-14,2023-02-01,1.001679,1.001248
01.497.954/0001-14,2023-03-01,1.000147,1.000132
01.497.954/0001-14,2023-04-01,1.001286,0.999737
01.497.954/0001-14,2023-05-01,1.000316,1.000316
01.497.954/0001-14,2023-06-01,1.001328,0.998705
01.497.954/0001-14,2023-07-01,1.000184,1.000184
01.497.954/0001-14,2023-08-01,1.001616,1.001616
01.497.954/0001-14,2023-09-01,1.000896,1.000164
01.497.954/0001-14,2023-10-01,1.001061,0.999427
01.497.954/0001-14,2023-11-01,1.075767,1.075251
01.497.954/0001-14,2023-12-01,1.000553,0.998895
01.633.741/0001-72,2022-01-01,1.001194,1.001194
01.633.741/0001-72,2022-02-01,0.999595,0.999595
01.633.741/0001-72,2022-03-01,0.999783,0.999783
01.633.741/0001-72,2022-04-01,1.000463,1.000463
01.633.741/0001-72,2022-05-01,1.000165,1.000165
01.633.741/0001-72,2022-06-01,0.999242,0.998103
01.633.741/0001-72,2022-07-01,1.000287,1.000287
01.633.741/0001-72,2022-08-01,1.000338,1.000338
01.633.741/0001-72,2022-09-01,1.000383,1.000383
01.633.741/0001-72,2022-10-01,1.000051,1.000051
01.633.741/0001-72,2022-11-01,1.000231,1.000231
01.633.741/0001-72,2022-12-01,0.968255,0.96573
01.633.741/0001-72,2023-01-01,1.001179,1.001179
01.633.741/0001-72,2023-02-01,0.999845,0.999845
01.633.741/0001-72,2023-03-01,0.999825,0.999825
01.633.741/0001-72,2023-04-01,0.999987,0.999987
01.633.741/0001-72,2023-05-01,1.000859,1.000859
01.633.741/0001-72,2023-06-01,1.000998,0.999734
01.633.741/0001-72,2023-07-01,1.002621,1.002621
01.633.741/0001-72,2023-08-01,1.000346,1.000346
01.633.741/0001-72,2023-09-01,1.000279,1.000279
01.633.741/0001-72,2023-10-01,0.999196,0.999196
01.633.741/0001-72,2023-11-01,1.000523,1.000523
01.633.741/0001-72,2023-12-01,0.985358,0.981493
01.636.325/0001-28,2022-01-01,0.996614,0.996614
01.636.325/0001-28,2022-02-01,1.003349,1.003349
01.636.325/0001-28,2022-03-01,0.996293,0.996293
01.636.325/0001-28,2022-04-01,1.000171,1.000171
01.636.325/0001-28,2022-05-01,1.001265,1.001265
01.636.325/0001-28,2022-06-01,1.002817,1.002817
01.636.325/0001-28,2022-07-01,1.00149,1.00149
01.636.325/0001-28,2022-08-01,1.002577,1.002577
01.636.325/0001-28,2022-09-01,0.999857,0.999322
01.636.325/0001-28,2022-10-01,1.005082,1.004555
01.636.325/0001-28,2022-11-01,1.004039,1.003189
01.636.325/0001-28,2022-12-01,1.055707,1.039622
01.636.325/0001-28,2023-01-01,1.002146,1.000719
01.636.325/0001-28,2023-02-01,1.000288,0.999362
01.636.325/0001-28,2023-03-01,1.008806,1.008069
01.636.325/0001-28,2023-04-01,1.003875,1.003875
01.636.325/0001-28,2023-05-01,1.003875,1.003875
01.636.325/0001-28,2023-06-01,0.985609,0.985609
01.636.325/0001-28,2023-07-01,0.985609,0.985609
01.636.325/0001-28,2023-08-01,1.005672,1.005672
01.636.325/0001-28,2023-09-01,1.006009,1.006009
01.636.325/0001-28,2023-10-01,1.006899,1.006899
01.636.325/0001-28,2023-11-01,1.005592,1.005592
01.636.325/0001-28,2023-12-01,1.005592,1.005592
01.657.856/0001-05,2022-01-01,1.003011,0.998524
01.657.856/0001-05,2022-02-01,1.00232,1.001783
01.657.856/0001-05,2022-03-01,0.996339,0.995244
01.657.856/0001-05,2022-04-01,1.002195,1.001392
01.657.856/0001-05,2022-05-01,1.002321,1.001223
01.657.856/0001-05,2022-06-01,1.002848,1.000526
01.657.856/0001-05,2022-07-01,1.003406,1.001405
01.657.856/0001-05,2022-08-01,1.002593,1.001714
01.657.856/0001-05,2022-09-01,1.002709,1.001353
01.657.856/0001-05,2022-10-01,1.002836,1.001721
01.657.856/0001-05,2022-11-01,1.004336,1.002904
01.657.856/0001-05,2022-12-01,0.931563,0.928629
01.657.856/0001-05,2023-01-01,1.002008,0.997994
01.657.856/0001-05,2023-02-01,1.003619,1.003619
01.657.856/0001-05,2023-03-01,1.002315,0.9994
01.657.856/0001-05,2023-04-01,1.002171,1.000635
01.657.856/0001-05,2023-05-01,0.998824,0.997375
01.657.856/0001-05,2023-06-01,1.00332,1.001268
01.657.856/0001-05,2023-07-01,0.999855,0.997977
01.657.856/0001-05,2023-08-01,0.998896,0.996928
01.657.856/0001-05,2023-09-01,1.001751,1.000125
01.657.856/0001-05,2023-10-01,1.001469,0.999929
01.657.856/0001-05,2023-11-01,1.001899,1.000872
01.657.856/0001-05,2023-12-01,1.016342,1.014803
02.027.437/0001-44,2022-01-01,1.004134,1.004134
02.027.437/0001-44,2022-02-01,0.99821,0.99821
02.027.437/0001-44,2022-03-01,0.998301,0.998301
02.027.437/0001-44,2022-04-01,0.997568,0.997568
02.027.437/0001-44,2022-05-01,0.99811,0.99811
02.027.437/0001-44,2022-06-01,0.996977,0.996977
02.027.437/0001-44,2022-07-01,0.997551,0.997551
02.027.437/0001-44,2022-08-01,0.997876,0.997876
02.027.437/0001-44,2022-09-01,0.99796,0.99796
02.027.437/0001-44,2022-10-01,0.970143,0.970143
02.027.437/0001-44,2022-11-01,0.9982,0.9982
02.027.437/0001-44,2022-12-01,0.999423,0.999423
02.027.437/0001-44,2023-01-01,0.998478,0.998478
02.027.437/0001-44,2023-02-01,0.99283,0.99283
02.027.437/0001-44,2023-03-01,0.998071,0.998071
02.027.437/0001-44,2023-04-01,1.002325,1.002325
02.027.437/0001-44,2023-05-01,0.997968,0.997968
02.027.437/0001-44,2023-06-01,0.998185,0.998185
02.027.437/0001-44,2023-07-01,1.0011,1.0011
02.027.437/0001-44,2023-08-01,0.997854,0.997854
02.027.437/0001-44,2023-09-01,0.997672,0.997672
02.027.437/0001-44,2023-10-01,0.997928,0.997928
02.027.437/0001-44,2023-11-01,1.006422,1.006422
02.027.437/0001-44,2023-12-01,1.000581,1.000581
03.507.519/0001-59,2022-01-01,1.003042,0.997652
03.507.519/0001-59,2022-02-01,1.003927,0.999256
03.507.519/0001-59,2022-03-01,1.003623,0.999635
03.507.519/0001-59,2022-04-01,1.005012,1.001237
03.507.519/0001-59,2022-05-01,1.003551,1.000118
03.507.519/0001-59,2022-06-01,1.003659,1.00017
03.507.519/0001-59,2022-07-01,1.004836,0.999795
03.507.519/0001-59,2022-08-01,1.004726,0.999943
03.507.519/0001-59,2022-09-01,1.00507,1.000489
03.507.519/0001-59,2022-10-01,1.004379,1.000104
03.507.519/0001-59,2022-11-01,1.003288,1.000251
03.507.519/0001-59,2022-12-01,1.009281,1.005514
03.507.519/0001-59,2023-01-01,1.004073,1.000271
03.507.519/0001-59,2023-02-01,1.004627,1.000826
03.507.519/0001-59,2023-03-01,1.004607,1.000809
03.507.519/0001-59,2023-04-01,1.004002,0.999314
03.507.519/0001-59,2023-05-01,1.004384,0.999693
03.507.519/0001-59,2023-06-01,1.005039,0.996301
03.507.519/0001-59,2023-07-01,1.003472,0.998762
03.507.519/0001-59,2023-08-01,1.004408,1.000197
03.507.519/0001-59,2023-09-01,1.004869,1.000659
03.507.519/0001-59,2023-10-01,1.00553,1.000818
03.507.519/0001-59,2023-11-01,1.005479,1.000098
03.507.519/0001-59,2023-12-01,1.042258,1.036542
03.683.056/0001-86,2022-01-01,1.00212,0.999325
03.683.056/0001-86,2022-02-01,1.001082,0.998285
03.683.056/0001-86,2022-03-01,1.001106,0.998304
03.683.056/0001-86,2022-04-01,0.997736,0.994674
03.683.056/0001-86,2022-05-01,1.003813,1.000735
03.683.056/0001-86,2022-06-01,1.001788,0.998097
03.683.056/0001-86,2022-07-01,1.004136,1.000438
03.683.056/0001-86,2022-08-01,1.015599,1.011902
03.683.056/0001-86,2022-09-01,1.003984,1.000331
03.683.056/0001-86,2022-10-01,1.003442,0.99979
03.683.056/0001-86,2022-11-01,1.067094,1.063238
03.683.056/0001-86,2022-12-01,0.992938,0.989312
03.683.056/0001-86,2023-01-01,1.008997,1.005476
03.683.056/0001-86,2023-02-01,1.002662,0.99916
03.683.056/0001-86,2023-03-01,1.004601,1.001048
03.683.056/0001-86,2023-04-01,0.999204,0.995655
03.683.056/0001-86,2023-05-01,1.008426,1.004862
03.683.056/0001-86,2023-06-01,1.000804,0.997257
03.683.056/0001-86,2023-07-01,1.00515,1.001545
03.683.056/0001-86,2023-08-01,1.005617,1.00197
03.683.056/0001-86,2023-09-01,1.004652,1.000964
03.683.056/0001-86,2023-10-01,1.005407,1.001675
03.683.056/0001-86,2023-11-01,1.00277,0.998996
03.683.056/0001-86,2023-12-01,0.987103,0.983277
04.644.612/0001-78,2022-01-01,0.996179,0.996179
04.644.612/0001-78,2022-02-01,0.998827,0.998827
04.644.612/0001-78,2022-03-01,0.998885,0.998885
04.644.612/0001-78,2022-04-01,0.998549,0.998549
04.644.612/0001-78,2022-05-01,0.998371,0.998371
04.644.612/0001-78,2022-06-01,0.99891,0.99891
04.644.612/0001-78,2022-07-01,0.998726,0.998726
04.644.612/0001-78,2022-08-01,0.9343090000000001,0.9343090000000001
04.644.612/0001-78,2022-09-01,0.998617,0.998617
04.644.612/0001-78,2022-10-01,0.998457,0.998457
04.644.612/0001-78,2022-11-01,0.998563,0.998563
04.644.612/0001-78,2022-12-01,0.998547,0.998547
04.644.612/0001-78,2023-01-01,0.998543,0.998543
04.644.612/0001-78,2023-02-01,0.998466,0.998466
04.644.612/0001-78,2023-03-01,0.998418,0.998418
04.644.612/0001-78,2023-04-01,0.998429,0.998429
04.644.612/0001-78,2023-05-01,0.998324,0.998324
04.644.612/0001-78,2023-06-01,0.998409,0.998409
04.644.612/0001-78,2023-07-01,0.998359,0.998359
04.644.612/0001-78,2023-08-01,0.997185,0.997185
04.644.612/0001-78,2023-09-01,0.998051,0.998051
04.644.612/0001-78,2023-10-01,0.996339,0.996339
04.644.612/0001-78,2023-11-01,0.997587,0.997587
04.644.612/0001-78,2023-12-01,0.99823,0.99823
04.722.883/0001-02,2022-01-01,1.002979,0.999766
04.722.883/0001-02,2022-02-01,1.002733,1.000141
04.722.883/0001-02,2022-03-01,1.001019,1.000005
04.722.883/0001-02,2022-04-01,1.003116,1.000037
04.722.883/0001-02,2022-05-01,1.000935,1.000039
04.722.883/0001-02,2022-06-01,1.001925,1.00002
04.722.883/0001-02,2022-07-01,1.001636,1.000145
04.722.883/0001-02,2022-08-01,1.00155,1.000051
04.722.883/0001-02,2022-09-01,1.001849,1.000171
04.722.883/0001-02,2022-10-01,1.001894,0.999988
04.722.883/0001-02,2022-11-01,1.002812,1.000083
04.722.883/0001-02,2022-12-01,0.973121,0.971939
04.722.883/0001-02,2023-01-01,1.001589,0.998825
04.722.883/0001-02,2023-02-01,1.002393,1.000608
04.722.883/0001-02,2023-03-01,1.001932,0.999685
04.722.883/0001-02,2023-04-01,1.002044,0.99981
04.722.883/0001-02,2023-05-01,1.002228,1.000085
04.722.883/0001-02,2023-06-01,1.002159,0.999652
04.722.883/0001-02,2023-07-01,1.002286,1.000221
04.722.883/0001-02,2023-08-01,1.003114,1.000192
04.722.883/0001-02,2023-09-01,1.002233,1.00002
04.722.883/0001-02,2023-10-01,1.006912,1.004132
04.722.883/0001-02,2023-11-01,1.003136,1.000926
04.722.883/0001-02,2023-12-01,1.000254,0.997442
05.437.916/0001-27,2022-01-01,1.005808,1.000297
05.437.916/0001-27,2022-02-01,1.006024,1.000323
05.437.916/0001-27,2022-03-01,1.006453,1.000754
05.437.916/0001-27,2022-04-01,1.006051,1.000196
05.437.916/0001-27,2022-05-01,1.005945,1.000507
05.437.916/0001-27,2022-06-01,1.004738,0.999143
05.437.916/0001-27,2022-07-01,1.005574,0.999974
05.437.916/0001-27,2022-08-01,1.005082,0.999482
05.437.916/0001-27,2022-09-01,1.006287,1.000684
05.437.916/0001-27,2022-10-01,1.00693,1.001075
05.437.916/0001-27,2022-11-01,1.006235,1.000098
05.437.916/0001-27,2022-12-01,1.044264,1.037777
05.437.916/0001-27,2023-01-01,1.007039,1.00128
05.437.916/0001-27,2023-02-01,1.005697,0.999946
05.437.916/0001-27,2023-03-01,1.005598,0.999846
05.437.916/0001-27,2023-04-01,1.005602,0.99985
05.437.916/0001-27,2023-05-01,1.0076,1.000548
05.437.916/0001-27,2023-06-01,1.003602,0.99776
05.437.916/0001-27,2023-07-01,1.005974,1.000284
05.437.916/0001-27,2023-08-01,1.005852,1.000071
05.437.916/0001-27,2023-09-01,1.005974,1.000194
05.437.916/0001-27,2023-10-01,1.005877,1.000098
05.437.916/0001-27,2023-11-01,1.006109,1.00033
05.437.916/0001-27,2023-12-01,1.043158,1.0373809999999999
08.098.114/0001-28,2022-01-01,1.006168,1.000405
08.098.114/0001-28,2022-02-01,1.00596,1.000199
08.098.114/0001-28,2022-03-01,1.004567,0.998808
08.098.114/0001-28,2022-04-01,1.005603,0.999837
08.098.114/0001-28,2022-05-01,1.006075,1.000308
08.098.114/0001-28,2022-06-01,0.994083,0.988317
08.098.114/0001-28,2022-07-01,1.007184,1.000621
08.098.114/0001-28,2022-08-01,1.006772,1.000213
08.098.114/0001-28,2022-09-01,1.00763,1.001073
08.098.114/0001-28,2022-10-01,1.007103,1.000553
08.098.114/0001-28,2022-11-01,1.006179,0.999632
08.098.114/0001-28,2022-12-01,1.004936,0.998387
08.098.114/0001-28,2023-01-01,1.010327,1.003767
08.098.114/0001-28,2023-02-01,1.005793,0.999258
08.098.114/0001-28,2023-03-01,1.006502,0.999962
08.098.114/0001-28,2023-04-01,1.006378,0.999838
08.098.114/0001-28,2023-05-01,1.006517,0.999976
08.098.114/0001-28,2023-06-01,0.975953,0.969412
08.098.114/0001-28,2023-07-01,1.006099,0.999671
08.098.114/0001-28,2023-08-01,1.008273,1.001843
08.098.114/0001-28,2023-09-01,1.005954,0.999536
08.098.114/0001-28,2023-10-01,1.007732,1.001311
08.098.114/0001-28,2023-11-01,1.006287,0.999874
08.098.114/0001-28,2023-12-01,1.007016,1.000603
08.417.532/0001-30,2022-01-01,1.012162,1.012162
08.417.532/0001-30,2022-02-01,1.008259,1.008259
08.417.532/0001-30,2022-03-01,1.004682,1.004682
08.417.532/0001-30,2022-04-01,1.010122,1.010122
08.417.532/0001-30,2022-05-01,1.008212,1.008212
08.417.532/0001-30,2022-06-01,1.008685,0.987797
08.417.532/0001-30,2022-07-01,1.020048,1.020048
08.417.532/0001-30,2022-08-01,1.011098,1.011098
08.417.532/0001-30,2022-09-01,1.012946,1.012946
08.417.532/0001-30,2022-10-01,1.006893,1.006893
08.417.532/0001-30,2022-11-01,1.021678,1.021678
08.417.532/0001-30,2022-12-01,1.010644,0.992246
08.417.532/0001-30,2023-01-01,1.009434,1.009434
08.417.532/0001-30,2023-02-01,1.011581,1.011581
08.417.532/0001-30,2023-03-01,1.005095,1.005095
08.417.532/0001-30,2023-04-01,1.009253,1.009253
08.417.532/0001-30,2023-05-01,1.010456,1.010456
08.417.532/0001-30,2023-06-01,0.992427,0.973084
08.417.532/0001-30,2023-07-01,1.014267,1.014267
08.417.532/0001-30,2023-08-01,1.007779,1.007779
08.417.532/0001-30,2023-09-01,1.010352,1.010352
08.417.532/0001-30,2023-10-01,1.013905,1.013905
08.417.532/0001-30,2023-11-01,1.010791,1.010791
08.417.532/0001-30,2023-12-01,0.989213,0.936815
08.431.747/0001-06,2022-01-01,1.009116,1.00375
08.431.747/0001-06,2022-02-01,1.010637,1.005291
08.431.747/0001-06,2022-03-01,1.000686,0.995368
08.431.747/0001-06,2022-04-01,1.010038,1.004463
08.431.747/0001-06,2022-05-01,1.007179,1.001398
08.431.747/0001-06,2022-06-01,1.004993,0.998527
08.431.747/0001-06,2022-07-01,1.006562,1.000549
08.431.747/0001-06,2022-08-01,1.020773,1.014763
08.431.747/0001-06,2022-09-01,1.000935,0.994785
08.431.747/0001-06,2022-10-01,1.006083,0.999901
08.431.747/0001-06,2022-11-01,1.000155,0.993743
08.431.747/0001-06,2022-12-01,1.029214,1.022762
08.431.747/0001-06,2023-01-01,1.003936,0.997627
08.431.747/0001-06,2023-02-01,0.996335,0.990011
08.431.747/0001-06,2023-03-01,1.005394,0.999007
